Name,Province,Constituency,Party,Oath Taking Date,City,Constituency Type,Country
abdul latif,KPK,NA-1,SIC,2024-02-29,Chitral Upper,General,Pakistan
amjad ali khan,KPK,NA-2,SIC,2024-02-29,Swat,General,Pakistan
saleem rehman,KPK,NA-3,SIC,2024-02-29,Swat,General,Pakistan
sohail sultan,KPK,NA-4,SIC,2024-02-29,Swat,General,Pakistan
sahibzada sibghatullah,KPK,NA-5,SIC,2024-02-29,Upper Dir,General,Pakistan
muhammad bashir khan,KPK,NA-6,SIC,2024-02-29,Lower Dir,General,Pakistan
mehboob shah,KPK,NA-7,SIC,2024-02-29,Lower Dir,General,Pakistan
mubarak zeb,KPK,NA-8,IND,2024-05-13,Bajaur,General,Pakistan
junaid akbar,KPK,NA-9,SIC,2024-02-29,Malakand,General,Pakistan
gohar ali khan,KPK,NA-10,IND,2024-02-29,Buner,General,Pakistan
amir muqam,KPK,NA-11,PML (N),2024-02-29,Shangla,General,Pakistan
muhammad idrees,KPK,NA-12,PML (N),2024-02-29,Kohistan,General,Pakistan
muhammad nawaz khan,KPK,NA-13,SIC,2024-02-29,Battagram,General,Pakistan
sardar muhammad yousaf zaman,KPK,NA-14,PML (N),2024-02-29,Mansehra,General,Pakistan
shahzada muhammad gushtasap khan,KPK,NA-15,SIC,2024-03-01,Mansehra,General,Pakistan
ali asghar khan,KPK,NA-16,IND,2024-02-29,Abbottabad,General,Pakistan
ali khan jadoon,KPK,NA-17,SIC,2024-02-29,Abbottabad,General,Pakistan
omar ayub khan,KPK,NA-18,IND,2024-02-29,Haripur,General,Pakistan
asad qaiser,KPK,NA-19,SIC,2024-02-29,Swabi,General,Pakistan
shahram khan,KPK,NA-20,SIC,2024-02-29,Swabi,General,Pakistan
mujahid ali,KPK,NA-21,SIC,2024-02-29,Mardan,General,Pakistan
muhammad atif,KPK,NA-22,SIC,2024-02-29,Mardan,General,Pakistan
ali muhammad khan,KPK,NA-23,SIC,2024-02-29,Mardan,General,Pakistan
malik anwar taj,KPK,NA-24,SIC,2024-02-29,Charsadda,General,Pakistan
fazal muhammad khan,KPK,NA-25,SIC,2024-02-29,Charsadda,General,Pakistan
sajid khan,KPK,NA-26,SIC,2024-02-29,Mohmand,General,Pakistan
muhammad iqbal khan (NA-27),KPK,NA-27,SIC,2024-02-29,Khyber,General,Pakistan
noor alam khan,KPK,NA-28,JUI (P),2024-02-29,Peshawar,General,Pakistan
arbab amir ayub,KPK,NA-29,SIC,2024-02-29,Peshawar,General,Pakistan
shandana gulzar khan,KPK,NA-30,SIC,2024-02-29,Peshawar,General,Pakistan
sher ali arbab,KPK,NA-31,SIC,2024-02-29,Peshawar,General,Pakistan
asif khan,KPK,NA-32,SIC,2024-02-29,Peshawar,General,Pakistan
syed shah ahad ali shah,KPK,NA-33,SIC,2024-02-29,Nowshera,General,Pakistan
zulfiqar ali,KPK,NA-34,SIC,2024-02-29,Nowshera,General,Pakistan
shehryar khan afridi,KPK,NA-35,SIC,2024-02-29,Kohat,General,Pakistan
yousaf khan,KPK,NA-36,SIC,2024-02-29,Hangu,General,Pakistan
hameed hussain,KPK,NA-37,MWMP,2024-02-29,Kurram,General,Pakistan
shahid ahmed,KPK,NA-38,SIC,2024-02-29,Karak,General,Pakistan
nasim ali shah,KPK,NA-39,SIC,2024-02-29,Bannu,General,Pakistan
misbah uddin,KPK,NA-40,JUI (P),2024-02-29,North Waziristan,General,Pakistan
sher afzal khan,KPK,NA-41,SIC,2024-02-29,Laki Marwat,General,Pakistan
zubair khan,KPK,NA-42,SIC,2024-02-29,South Waziristan Upper,General,Pakistan
dawar khan kundi,KPK,NA-43,SIC,2024-02-29,Tank,General,Pakistan
faisal amin khan,KPK,NA-44,SIC,2024-04-26,Dera Ismail Khan,General,Pakistan
fateh ullah khan,KPK,NA-45,PPPP,2024-02-29,Dera Ismail Khan,General,Pakistan
anjum aqeel khan,Federal,NA-46,PML (N),2024-02-29,ICT,General,Pakistan
tariq fazal chudhary,Federal,NA-47,PML (N),2024-02-29,ICT,General,Pakistan
raja khurram shahzad nawaz,Federal,NA-48,PML (N),2024-02-29,ICT,General,Pakistan
sheikh aftab ahmad,Punjab,NA-49,PML (N),2024-02-29,Attock,General,Pakistan
malik sohail khan,Punjab,NA-50,PML (N),2024-02-29,Attock,General,Pakistan
raja osama sarwar,Punjab,NA-51,PML (N),2024-02-29,Rawalpindi,General,Pakistan
raja pervez ashraf,Punjab,NA-52,PPPP,2024-02-29,Rawalpindi,General,Pakistan
raja qamar ul islam,Punjab,NA-53,PML (N),2024-02-29,Rawalpindi,General,Pakistan
aqeel malik,Punjab,NA-54,PML (N),2024-02-29,Rawalpindi,General,Pakistan
ibrar ahmed,Punjab,NA-55,PML (N),2024-02-29,Rawalpindi,General,Pakistan
muhammad hanif abbasi,Punjab,NA-56,PML (N),2024-02-29,Rawalpindi,General,Pakistan
danyal,Punjab,NA-57,PML (N),2024-02-29,Rawalpindi,General,Pakistan
maj. (r) tahir iqbal,Punjab,NA-58,PML (N),2024-02-29,Chakwal,General,Pakistan
sardar ghulam abbas,Punjab,NA-59,PML (N),2024-02-29,Talagang,General,Pakistan
bilal azhar kayani,Punjab,NA-60,PML (N),2024-02-29,Jhelum,General,Pakistan
farrukh altaf,Punjab,NA-61,PML (N),2024-02-29,Jhelum,General,Pakistan
mohammad ilyas choudhary,Punjab,NA-62,PML,2024-02-29,Gujrat,General,Pakistan
hussain ellahi,Punjab,NA-63,PML,2024-02-29,Gujrat,General,Pakistan
salik hussain,Punjab,NA-64,PML,2024-02-29,Gujrat,General,Pakistan
choudhary naseer ahmed abbas,Punjab,NA-65,PML (N),2024-02-29,Gujrat,General,Pakistan
mohammad ahmed chattha,Punjab,NA-66,SIC,2024-02-29,Wazirabad,General,Pakistan
aniqa mehdi,Punjab,NA-67,SIC,2024-02-29,Hafizabad,General,Pakistan
haji imtiaz ahmad choudhry,Punjab,NA-68,SIC,2024-02-29,Mandi Bahauddin,General,Pakistan
nasir iqbal bosal,Punjab,NA-69,PML (N),2024-02-29,Mandi Bahauddin,General,Pakistan
armghan subhani,Punjab,NA-70,PML (N),2024-02-29,Sialkot,General,Pakistan
khawaja muhammad asif,Punjab,NA-71,PML (N),2024-02-29,Sialkot,General,Pakistan
ali zahid,Punjab,NA-72,PML (N),2024-02-29,Sialkot,General,Pakistan
syeda nosheen iftikhar,Punjab,NA-73,PML (N),2024-02-29,Sialkot,General,Pakistan
muhammad aslam ghumman,Punjab,NA-74,IND,2024-02-29,Sialkot,General,Pakistan
anwar ul haq,Punjab,NA-75,PML (N),2024-02-29,Narowal,General,Pakistan
ahsan iqbal,Punjab,NA-76,PML (N),2024-02-29,Narowal,General,Pakistan
mahmood bashir virk,Punjab,NA-77,PML (N),2024-02-29,Gujranwala,General,Pakistan
muhammad mobeen arif,Punjab,NA-78,SIC,2024-02-29,Gujranwala,General,Pakistan
zulfiqar ahmad,Punjab,NA-79,PML (N),2024-09-02,Gujranwala,General,Pakistan
shahid usman,Punjab,NA-80,PML (N),2024-02-29,Gujranwala,General,Pakistan
azhar qayyum nahra,Punjab,NA-81,PML (N),2024-04-01,Gujranwala,General,Pakistan
mukhtar ahmad malik,Punjab,NA-82,PML (N),2024-02-29,Sargodha,General,Pakistan
usama ahmed mela,Punjab,NA-83,SIC,2024-02-29,Sargodha,General,Pakistan
shafqat abbas,Punjab,NA-84,SIC,2024-02-29,Sargodha,General,Pakistan
zulfiqar ali bhatti,Punjab,NA-85,PML (N),2024-02-29,Sargodha,General,Pakistan
muhammad miqdad ali khan,Punjab,NA-86,SIC,2024-02-29,Sargodha,General,Pakistan
malik shakir bashir awan,Punjab,NA-87,PML (N),2024-02-29,Khushab,General,Pakistan
gul asghar khan,Punjab,NA-88,IPP,2024-02-29,Khushab,General,Pakistan
muhammad jamal ahsan khan,Punjab,NA-89,SIC,2024-02-29,Mianwali,General,Pakistan
umair khan niazi,Punjab,NA-90,SIC,2024-02-29,Mianwali,General,Pakistan
sana ullah khan mastikhel,Punjab,NA-91,SIC,2024-02-29,Bhakkar,General,Pakistan
sardar rashid akbar khan,Punjab,NA-92,PML (N),2024-02-29,Bhakkar,General,Pakistan
ghulam muhammad,Punjab,NA-93,SIC,2024-02-29,Chiniot,General,Pakistan
qaiser ahmed sheikh,Punjab,NA-94,PML (N),2024-02-29,Chiniot,General,Pakistan
ali afzal sahi,Punjab,NA-95,SIC,2024-02-29,Faisalabad,General,Pakistan
rai haider ali khan,Punjab,NA-96,SIC,2024-02-29,Faisalabad,General,Pakistan
muhammad saad ullah,Punjab,NA-97,SIC,2024-02-29,Faisalabad,General,Pakistan
muhammad shahbaz babar,Punjab,NA-98,PML (N),2024-02-29,Faisalabad,General,Pakistan
umar farooq,Punjab,NA-99,SIC,2024-02-29,Faisalabad,General,Pakistan
nisar ahmed,Punjab,NA-100,SIC,2024-02-29,Faisalabad,General,Pakistan
rana atif,Punjab,NA-101,SIC,2024-02-29,Faisalabad,General,Pakistan
changaze ahmad khan,Punjab,NA-102,SIC,2024-02-29,Faisalabad,General,Pakistan
muhammad ali sarfraz,Punjab,NA-103,SIC,2024-02-29,Faisalabad,General,Pakistan
sahibzada muhammad hamid raza,Punjab,NA-104,SIC,2024-02-29,Faisalabad,General,Pakistan
usama hamza,Punjab,NA-105,SIC,2024-02-29,Toba Tek Singh,General,Pakistan
m junaid anwar chaudhry,Punjab,NA-106,PML (N),2024-02-29,Toba Tek Singh,General,Pakistan
mohammad riaz khan,Punjab,NA-107,SIC,2024-02-29,Toba Tek Singh,General,Pakistan
muhammad mahbob sultan,Punjab,NA-108,SIC,2024-02-29,Jhang,General,Pakistan
waqas akram,Punjab,NA-109,SIC,2024-02-29,Jhang,General,Pakistan
muhammad ameer sultan,Punjab,NA-110,SIC,2024-02-29,Jhang,General,Pakistan
muhammad arshad sahi,Punjab,NA-111,SIC,2024-02-29,Nankana Sahib,General,Pakistan
shezra mansab ali khan kharal,Punjab,NA-112,PML (N),2024-02-29,Nankana Sahib,General,Pakistan
ahmad atteeq anwer,Punjab,NA-113,PML (N),2024-02-29,Sheikhupura,General,Pakistan
rana tanveer hussain,Punjab,NA-114,PML (N),2024-02-29,Sheikhupura,General,Pakistan
khurram shahzad virk,Punjab,NA-115,SIC,2024-02-29,Sheikhupura,General,Pakistan
khurram munawar manj,Punjab,NA-116,SIC,2024-02-29,Sheikhupura,General,Pakistan
abdul aleem khan (NA-117),Punjab,NA-117,IPP,2024-02-29,Lahore,General,Pakistan
muhammad hamza shahbaz sharif,Punjab,NA-118,PML (N),2024-02-29,Lahore,General,Pakistan
ali pervaiz,Punjab,NA-119,PML (N),2024-04-29,Lahore,General,Pakistan
sardar ayaz sadiq,Punjab,NA-120,PML (N),2024-02-29,Lahore,General,Pakistan
waseem qadir,Punjab,NA-121,PML (N),2024-02-29,Lahore,General,Pakistan
sardar muhammad latif khan khosa,Punjab,NA-122,SIC,2024-02-29,Lahore,General,Pakistan
mian muhammad shehbaz sharif,Punjab,NA-123,PML (N),2024-02-29,Lahore,General,Pakistan
rana mubashar iqbal,Punjab,NA-124,PML (N),2024-02-29,Lahore,General,Pakistan
muhammad afzal,Punjab,NA-125,PML (N),2024-02-29,Lahore,General,Pakistan
malik saif ul malook khokhar,Punjab,NA-126,PML (N),2024-02-29,Lahore,General,Pakistan
attaullah tarar,Punjab,NA-127,PML (N),2024-02-29,Lahore,General,Pakistan
mohammad awn saqlain,Punjab,NA-128,IPP,2024-02-29,Lahore,General,Pakistan
mian muhammad azhar,Punjab,NA-129,SIC,2024-02-29,Lahore,General,Pakistan
mian muhammad nawaz sharif,Punjab,NA-130,PML (N),2024-02-29,Lahore,General,Pakistan
saad waseem sheikh,Punjab,NA-131,PML (N),2024-02-29,Kasur,General,Pakistan
rasheed ahmad khan,Punjab,NA-132,PML (N),2024-04-29,Kasur,General,Pakistan
azim ud din zahid,Punjab,NA-133,SIC,2024-02-29,Kasur,General,Pakistan
rana muhammad hayat khan,Punjab,NA-134,PML (N),2024-02-29,Kasur,General,Pakistan
nadeem abbas,Punjab,NA-135,PML (N),2024-02-29,Okara,General,Pakistan
riaz ul haq,Punjab,NA-136,PML (N),2024-02-29,Okara,General,Pakistan
syed raza ali gillani,Punjab,NA-137,SIC,2024-02-29,Okara,General,Pakistan
muhammad mueen wattoo,Punjab,NA-138,PML (N),2024-02-29,Okara,General,Pakistan
ahmad raza maneka,Punjab,NA-139,PML (N),2024-02-29,Pakpattan,General,Pakistan
rana iradat sharif khan,Punjab,NA-140,PML (N),2024-02-29,Pakpattan,General,Pakistan
syed imran ahmad shah,Punjab,NA-141,PML (N),2024-02-29,Sahiwal,General,Pakistan
usman ali,Punjab,NA-142,IND,2024-02-29,Sahiwal,General,Pakistan
rai hassan nawaz khan,Punjab,NA-143,SIC,2024-02-29,Sahiwal,General,Pakistan
muhammad raza hayat harraj,Punjab,NA-144,PML (N),2024-02-29,Khanewal,General,Pakistan
muhammad khan daha,Punjab,NA-145,PML (N),2024-02-29,Khanewal,General,Pakistan
zahoor hussain qureshi,Punjab,NA-146,IND,2024-04-19,Khanewal,General,Pakistan
choudhary iftikhar nazir,Punjab,NA-147,PML (N),2024-02-29,Khanewal,General,Pakistan
syed ali qasim gillani,Punjab,NA-148,PPPP,2024-06-07,Multan,General,Pakistan
malik muhammad aamir dogar,Punjab,NA-149,SIC,2024-02-29,Multan,General,Pakistan
makhdoom zain hussain qureshi,Punjab,NA-150,SIC,2024-02-29,Multan,General,Pakistan
syed ali musa gilani,Punjab,NA-151,PPPP,2024-02-29,Multan,General,Pakistan
syed abdul kadir gillani,Punjab,NA-152,PPPP,2024-02-29,Multan,General,Pakistan
rana muhammad qasim noon,Punjab,NA-153,PML (N),2024-02-29,Multan,General,Pakistan
abdul rehman khan kanju,Punjab,NA-154,PML (N),2024-04-01,Lodhran,General,Pakistan
khan muhammad saddique khan balooch,Punjab,NA-155,PML (N),2024-02-29,Lodhran,General,Pakistan
ayesha nazir,Punjab,NA-156,SIC,2024-02-29,Vehari,General,Pakistan
sajid mehdi,Punjab,NA-157,PML (N),2024-02-29,Vehari,General,Pakistan
begum tehmina daultana,Punjab,NA-158,PML (N),2024-02-29,Vehari,General,Pakistan
aurangzeb khan khichi,Punjab,NA-159,IND,2024-02-29,Vehari,General,Pakistan
muhammad abdul ghaffar watto,Punjab,NA-160,PML (N),2024-02-29,Bahawalnagar,General,Pakistan
alam dad laleka,Punjab,NA-161,PML (N),2024-02-29,Bahawalnagar,General,Pakistan
ehsan ul haq bajwa,Punjab,NA-162,PML (N),2024-02-29,Bahawalnagar,General,Pakistan
muhammad ijaz ul haq,Punjab,NA-163,PML (Z),2024-02-29,Bahawalnagar,General,Pakistan
mian riaz hussain pirzada,Punjab,NA-164,PML (N),2024-02-29,Bahawalpur,General,Pakistan
tariq bashir cheema,Punjab,NA-165,PML,2024-02-29,Bahawalpur,General,Pakistan
makhdoom syed sami ul hassan gillani,Punjab,NA-166,PML (N),2024-02-29,Bahawalpur,General,Pakistan
muhammad usman awaisi,Punjab,NA-167,PML (N),2024-02-29,Bahawalpur,General,Pakistan
